Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
OI 8170,jr. station enable request from kyle,0,0
BA 1180,wanted to know if his log in would work. it did.,0,0
UC 85,log in request,0,0
ES 4001,mike showing prof how intercom works,0,0
BL 313,prof testing powerpoint for next week,0,0
OI 2286,projector on,0,0
OI 8200,projector on,0,0
OI 3311,enable,0,0
OI 8280,enable,0,0
OI 2286,system timed out re-enable,0,0
HS 106,want to know how to turn on projector,0,0
SS 1083,enable,0,0
MS 2172,login,0,0
OI 5290,called too soon,0,0
WI 1017,waiting for their assist,0,0
MR 6,talkmaster crashed while answering the call. they didn't call back.,0,0
OI 2296,kyle testing,0,0
MS 4171,no audio to speakers ,0,0
MS 2172,microphone not working,0,0
HA 410,"never used room, not sure how it works",0,1
MY 430,"prof who was previously non-faculty utorid holder can't log in ""this is a recurring issue for me""",0,0
MS 2172,prof calling in to let us know that she finished the class early and feels uncomfortable leaving the yamaha she had ordered alone in the room,0,1
PB B150,didn't know how wireless mic worked,0,0
RW 110,projector really dim,1,1
MS 3153,can't get an image w/ tablet,0,1
OI 4414,no image ,0,1
MC 102,had questions about the microphones,0,0
ES B149,prof couldn't figure out how to enter exclamation mark for login. intercom in room doesn't work. called on phone. intercom not showing up on talkmaster.,1,1
OI G162,need extra extension cord/ power bar,0,1
OI G162,projector not turning on,0,0
BA 2165,after hours,0,0
SF 1105,after hours,0,0
SF 3202,after hours,0,0
OI 2211,noticed room showing as disconnected in talkmaster,0,1
OI 2211,kyle testing + fixing unplugged laptop,0,0
BA 2195,"""first lecture, i didn't know what to do"" - he was unable to find the projector screen lowering control in the room. not on room plans pdf either.",0,1
BA 2139,"first lecture: ""i didn't know what to do""",0,0
MS 2173,"came to check out ms 2170 in advance of his class tomorrow, but room is locked. strange, because there's a course booked in there starting at 8am",0,0
GB 244,"first lecture, i didn't know what to do",0,1
LM 161,"trying to run in extended mode, for slides on laptop",0,1
BA 2195,"trying to access his files via room pc, can't because he's ""blocked"" by his presentation",0,0
BA 2145,room pc displaying black screen. appears to be on. ,0,1
MY 490,couldn't get laptop image up,0,0
ES 1050,checking in to see if occs is working,0,0
WB 116,no network on touchscreen,0,0
NF 003,utorid not working,0,0
BA 1130,"""how do i unlocked the microphone cabinet?""",0,0
OI 8200,"no image, black screen ""no input message"". right input is selected. ",0,1
OI 8200,already solved,0,0
AP 120,"""i can't figure out how to turn on the power"". also asking for update re: his rode mic delivery (on avlog)",0,0
OI 2212,mic keeps dropping out.,0,1
OI 2295,"""where is screen switch?""",0,0
BF 323,"""these whiteboard markers are in rough shape.""",0,0
HS 108,"""our utorids aren't working for logging in""",0,0
WI 1017,no audio through system/into zoom despite source audio being up and crestron being selected ,0,1
BL 313,"""my presentation isn't showing up on the screen""",0,0
OI 2211,"""can't see my laptop image""",0,0
SS 2135,"user is able to project his device to the big screen, but it's not showing up on the touchscreen preview",0,1
SF 1101,"table missing from front of room. it was there last week, and it's not there any more. he wants to put his notes & stuff on it. ""it'd be nice if it was there for next class""",1,0
SS 1086,"""we're having a bit of an issue getting our computer to display... okay, it's working now""",0,0
AH 107,"""i'm having trouble turning on the projector""",0,0
SS 1070,"""projector not coming on. am i doing something wrong?"" i tried every control method i have remotely: jr control, fusion, roomview - none of them worked.",0,1
MS 2158,asking if occs is booked,0,0
WE 75,"""ah sorry, there's no problem now""",0,0
OI 2211,can't get powerpoint to show on screen (desktop background only) even though displays are mirrored and it's set up to a single display within powerpoint,0,1
BA B024,image repeatedly dropping,0,1
MY 440,asked about how to close panels - three of them are stuck,0,0
OI 5150,worried that occs wasn't recording and checking in - numbers aren't counting up in room ,0,0
MS 2172,already solved,0,0
MP 102,a request to turn on front projector. side projector is already on.,0,1
SK 702,"no image, input correct, ",0,0
SS 2114,"wanted to know if she could use a usb key with the dock, in the process of findng a laptop to use i discovered that the display isn't coming on in that room",0,1
BA 2145,instructor couldn't get image up,0,0
MY 420,no image,1,1
BL 114,"no image, windows-p didn't help, nothing came up",0,1
PB B250,"wanted help, but class too noisy and he stopped responding to me .",0,1
UC 175,already solved,0,0
SS 1088,"""there's adapters, but they aren't plugged into anything, i can't find the cable""",0,1
MP 202,"ca already there, helping her",0,0
BA 1130,prof's laptop only has vga and wondering if we have an adapter,0,0
BA 1160,"""i was having trouble logging in, but now it worked. can you help me with the microphone?""",0,0
BR 200,having trouble pulling up powerpoint,0,0
PB B250,"""plugged in a usb key, sees anything in the key on...""",0,0
SF 1105,"""i can't find the microphone""",0,0
MY 480,"user has a microsoft surface, says the adapters in the room don't fit it, doesn't know what his port is called. talkmaster crashed, so i sent jon to room.",0,1
HS 100,"""we're actually all good""",0,0
BA 2159,"windows 11 laptop not getting image up on big screen, windows-p doesn't work, unplugging & replugging didn't work",0,1
TF 200,"instructor uses a vga adapter, says the teaching station's vga cable connector is bent out of shape, so she wasn't able to plug into it today.",1,0
SK 548,kyle buzzing in to ask for a remote login,1,0
FE 139,"""really obnoxious sound has been playing in the room since we arrived, it sounds like static with occasional bursts, we can't possible teach with this""",1,1
LM 161,login,0,0
OI 2286,"""we got the camera working, looks like the reboot fixed it""",0,0
SF 1101,asking for remote login,1,0
AH 100,wanted to know how to turn on mics,0,0
